id;Fecha;Ruta;Operadora;Proposito_del_Vuelo;Tipo_de_Aeronave;N_Registro;Total_abordo;Pasajeros_Abordo;Tripulacion_Abordo;N_Fallecidos;Pasajeros_Fallecidos;Tripulacion_Fallecida;Fallecidos_en_Tierra;año
2782;1975-01-03;Near Nha Trang, Vietnam;Air America;Da Lat - Nha Trang;Fairchild C-123K;ST-1;9;6;3;9;6;3;0;1975
2783;1975-01-08;Near Doncello, Colombia;SATENA;San Vicente del Caguan - Florencia;Douglas DC-3;FAC-688;21;17;4;21;17;4;0;1975
2784;1975-01-09;Whittier, California;Golden West Airlines / Private;Ontario - Los Angeles;de Hav Can. DHC-6 Tw Otter 100/ Cessna;N6383;14;10;4;14;10;4;0;1975
2785;1975-01-15;Budapest, Hunary;Malev Hungarian Airlines;Berlin - Budapest;Ilyushin IL-18V;HA-MOH;9;0;9;9;0;9;0;1975
2786;1975-01-16;Xam Neua, Laos;Aeroflot;Vientiane - Sam Neua;Antonov AN-12;CCCP-70417;16;14;2;16;14;2;0;1975
2787;1975-01-30;Istanbul, Turkey;Turkish Airlines (THY);Izmir - Istanbul;Fokker F-28 Fellowship 1000;TC-JAP;42;38;4;42;38;4;0;1975
2788;1975-01-30;Santo Domingo, Dominican Republic;Linea Aérea Nacional;Santo Domingo - Port-au-Prince;Douglas DC-3-313;HI-222;30;27;3;2;1;1;0;1975
2789;1975-02-01;Houston, Texas;Horizon Properties;Lawton, OK - Huntsville, TX;Douglas DC-3C;N15HC;16;14;2;5;3;2;0;1975
2790;1975-02-03;Manila, Philippines;Philippine Air Lines;Manila - Iligan;Hawker Siddeley HS-748 2;RP-C1028;33;29;4;33;29;4;0;1975
2791;1975-02-09;Souda, Crete;Military - Deutsche Luftwaffe;Hohn - Chania;Transall C-160;5063;40;35;5;40;35;5;0;1975
2792;1975-02-16;Fairbanks, Alaska;Pacific Alaska Airlines;Fairbanks - Happy Valley Camp;Douglas DC-6BF;N77DG;3;0;3;3;0;3;0;1975
2793;1975-02-22;Medellin, Colombia;Aerocondor;Medellin, Colombia - Miami, Florida;Canadair CL-44;HK-1972;5;0;5;5;0;5;0;1975
2794;1975-02-27;Near Sao Paulo, Brazil;VASP;Sao Paulo - Bauru;Embraer 110C Bandeirante;PP-SBE;15;13;2;15;13;2;0;1975
2796;1975-03-16;Near Barito, Argentina;Military - Argentine Air Force;El Palomar AB - San Carlos de Bariloche;Fokker F-27 Friendship 400M;TC-72;55;50;5;55;50;5;0;1975
2798;1975-03-18;Near Terney, Russia;Aeroflot;Terney - Amgu;Antonov An-2;CCCP-05655;12;10;2;7;6;1;0;1975
2799;1975-03-20;Near Quilcene, Washington;Military - U.S. Air Force;Clark AFB - Japan;Lockheed C-141A (L.300);64-0641;16;12;4;16;12;4;0;1975
